product_id;status;title;current_handle;expected_handle;rule;variant_count;variant_skus;audit_reason;collision;collision_product_id;fixable
9348906844490;ACTIVE;Actuator protection cap;actuator-protection-cap;a42037096020;single_variant_exact_sku;1;A42037096020;expected_handle_mismatch;0;;1
8775090438474;ACTIVE;ADAM - Child Mannequin;hsq-hra3400011;hra3400011;single_variant_exact_sku;1;HRA3400011;expected_handle_mismatch;0;;1
9400595022154;ACTIVE;Adapter;wp-t12134;t12134;single_variant_exact_sku;1;T12134;expected_handle_mismatch;0;;1
9400595546442;ACTIVE;Adapter;wp-t14105;t14105;single_variant_exact_sku;1;T14105;expected_handle_mismatch;0;;1
9400595611978;ACTIVE;Adapter;wp-t532s;t532s;single_variant_exact_sku;1;T532S;expected_handle_mismatch;1;9399512301898;0
8558551433546;ACTIVE;ADAPTER 2ND GP ON I-MOUNT;3123002;687000500000;single_variant_exact_sku;1;687000500000;expected_handle_mismatch;0;;1
9399651860810;ACTIVE;Adapter AM 50SX;wp-t03033;t03033;single_variant_exact_sku;1;T03033;expected_handle_mismatch;0;;1
9399651926346;ACTIVE;Adapter AM 65SX;wp-t03032;t03032;single_variant_exact_sku;1;T03032;expected_handle_mismatch;1;8773233213770;0
9400595448138;ACTIVE;Adapter AM Enduro;wp-t01077;t01077;single_variant_exact_sku;1;T01077;expected_handle_mismatch;0;;1
8775172129098;DRAFT;Adapter and template EFI;hsq-29095003;29095003;single_variant_exact_sku;1;29095003;expected_handle_mismatch;1;7226152353973;0
9370035290442;DRAFT;Adapter and template EFI;hsq-00029095003;29095003;single_variant_exact_sku;1;29095003;expected_handle_mismatch;1;7226152353973;0
8775174324554;ACTIVE;Adapter and template KHR4;hsq-29095011;29095011;single_variant_exact_sku;1;29095011;expected_handle_mismatch;1;7226152714421;0
9370035683658;ACTIVE;Adapter and template KHR4;hsq-00029095011;29095011;single_variant_exact_sku;1;29095011;expected_handle_mismatch;1;7226152714421;0
8775173177674;DRAFT;Adapter and template KHRS;hsq-29095010;29095010;single_variant_exact_sku;1;29095010;expected_handle_mismatch;1;7226152616117;0
9370035519818;DRAFT;Adapter and template KHRS;hsq-00029095010;29095010;single_variant_exact_sku;1;29095010;expected_handle_mismatch;1;7226152616117;0
