product_id;status;current_handle;new_handle;rule;variant_count;variant_skus
15360605847882;ACTIVE;35168114201-3029;35.168.114.20x;multi_variant_suffix_x;5;35.168.114.201,35.168.114.202,35.168.114.203,35.168.114.204,35.168.114.205
15360076054858;ACTIVE;35173614516-1502;35.173.614.51x;multi_variant_suffix_x;2;35.173.614.516,35.173.614.517
15360091881802;ACTIVE;35173214516-1638;35.173.214.51x;multi_variant_suffix_x;2;35.173.214.516,35.173.214.517
15360099189066;ACTIVE;35173014516-1706;35.173.014.51x;multi_variant_suffix_x;2;35.173.014.516,35.173.014.517
15360183075146;ACTIVE;35169514516-2622;35.169.514.51x;multi_variant_suffix_x;2;35.169.514.516,35.169.514.517
15360186581322;ACTIVE;35169314516-2690;35.169.314.51x;multi_variant_suffix_x;2;35.169.314.516,35.169.314.517
15360605880650;ACTIVE;35168114516-3030;35.168.114.51x;multi_variant_suffix_x;2;35.168.114.516,35.168.114.517
15360076382538;ACTIVE;35173613564-1504;35.173.613.56x;multi_variant_suffix_x;4;35.173.613.564,35.173.613.565,35.173.613.566,35.173.613.567
15360092078410;ACTIVE;35173213564-1640;35.173.213.56x;multi_variant_suffix_x;4;35.173.213.564,35.173.213.565,35.173.213.566,35.173.213.567
15360099418442;ACTIVE;35173013564-1708;35.173.013.56x;multi_variant_suffix_x;4;35.173.013.564,35.173.013.565,35.173.013.566,35.173.013.567
15360183140682;ACTIVE;35169513564-2624;35.169.513.56x;multi_variant_suffix_x;4;35.169.513.564,35.169.513.565,35.169.513.566,35.169.513.567
15360186646858;ACTIVE;35169313564-2692;35.169.313.56x;multi_variant_suffix_x;4;35.169.313.564,35.169.313.565,35.169.313.566,35.169.313.567
15360605946186;ACTIVE;35168113564-3032;35.168.113.56x;multi_variant_suffix_x;4;35.168.113.564,35.168.113.565,35.168.113.566,35.168.113.567
15360077267274;ACTIVE;35173614287-1509;35.173.614.287;single_variant_exact_sku;1;35.173.614.287
15360092537162;ACTIVE;35173214287-1645;35.173.214.287;single_variant_exact_sku;1;35.173.214.287
15360099975498;ACTIVE;35173014287-1713;35.173.014.287;single_variant_exact_sku;1;35.173.014.287
15360183402826;ACTIVE;35169514287-2629;35.169.514.287;single_variant_exact_sku;1;35.169.514.287
15360186974538;ACTIVE;35169314287-2697;35.169.314.287;single_variant_exact_sku;1;35.169.314.287
15360606273866;ACTIVE;35168114287-3037;35.168.114.287;single_variant_exact_sku;1;35.168.114.287
15360077758794;ACTIVE;35173614451-1512;35.173.614.451;single_variant_exact_sku;1;35.173.614.451
15360092832074;ACTIVE;35173214451-1648;35.173.214.451;single_variant_exact_sku;1;35.173.214.451
15360100270410;ACTIVE;35173014451-1716;35.173.014.451;single_variant_exact_sku;1;35.173.014.451
15360183566666;ACTIVE;35169514451-2632;35.169.514.451;single_variant_exact_sku;1;35.169.514.451
15360187072842;ACTIVE;35169314451-2700;35.169.314.451;single_variant_exact_sku;1;35.169.314.451
15360606437706;ACTIVE;35168114451-3040;35.168.114.451;single_variant_exact_sku;1;35.168.114.451
15360078152010;ACTIVE;35173614036-1514;35.173.614.03x;multi_variant_suffix_x;3;35.173.614.036,35.173.614.034,35.173.614.035
15360092963146;ACTIVE;35173214036-1650;35.173.214.03x;multi_variant_suffix_x;3;35.173.214.036,35.173.214.034,35.173.214.035
15360100532554;ACTIVE;35173014036-1718;35.173.014.03x;multi_variant_suffix_x;3;35.173.014.036,35.173.014.034,35.173.014.035
15360183664970;ACTIVE;35169514036-2634;35.169.514.03x;multi_variant_suffix_x;3;35.169.514.036,35.169.514.034,35.169.514.035
15360187171146;ACTIVE;35169314036-2702;35.169.314.03x;multi_variant_suffix_x;3;35.169.314.036,35.169.314.034,35.169.314.035
15360606568778;ACTIVE;35168114036-3042;35.168.114.03x;multi_variant_suffix_x;3;35.168.114.036,35.168.114.034,35.168.114.035
