id,handle,title,fits_on,fits_on_year,fits_on_make,fits_on_model,fits_on_year_new,fits_on_make_new,fits_on_model_new,ymm_summary,parts_compartment,parts_floor,parts_shelve,parts_list,parts_box,parts_row,global_fits_on_make_new,global_fits_on_model_new,global_fits_on_year_new,MPN
,wp-250excf2021,250 EXC-F 2021,"{""KTM"":{""250 EXC-F"":[""2021""]}}",2021,KTM,250 EXC-F,,,,KTM 250 (EXC) 2021-2021,,,,,,,,,,F8103U9
,wp-250excf2023,250 EXC-F 2023,"{""KTM"":{""250 EXC-F"":[""2023""]}}",2023,KTM,250 EXC-F,,,,KTM 250 (EXC) 2023-2023,,,,,,,,,,F8103W9
,wp-250exctpi2018,250 EXC TPI 2018,"{""KTM"":{""250 EXC TPI"":[""2018""]}}",2018,KTM,250 EXC TPI,,,,KTM 250 (EXC) 2018-2018,,,,,,,,,,F7303R7
,wp-250se-rfactory2015,Sherco 250 SE-R Factory 2015,,,,,,,,,,,,,,,,,,250SE-RFACTORY2015
,wp-250se-rfactory2016,Sherco 250 SE-R Factory 2016,,,,,,,,,,,,,,,,,,250SE-RFACTORY2016
,wp-250sef-r2015,Sherco 250 SEF-R 2015,,,,,,,,,,,,,,,,,,250SEF-R2015
,wp-250sef-r2016,Sherco 250 SEF-R 2016,,,,,,,,,,,,,,,,,,250SEF-R2016
,wp-250sef2015,Sherco 250 SEF 2015,,,,,,,,,,,,,,,,,,250SEF2015
,wp-250sef2016,Sherco 250 SEF 2016,,,,,,,,,,,,,,,,,,250SEF2016
,wp-250sefr2017,Sherco 250 SEF-R 2017,,,,,,,,,,,,,,,,,,250SEFR2017
,wp-250sefr2018,Sherco 250 SEF-R 2018,,,,,,,,,,,,,,,,,,250SEFR2018
,wp-250sefr2019,Sherco 250 SEF-R 2019,,,,,,,,,,,,,,,,,,250SEFR2019
,wp-250sefr2020,Sherco 250 SEF-R 2020,,,,,,,,,,,,,,,,,,250SEFR2020
,wp-250ser2017,Sherco 250 SE-R 2017,,,,,,,,,,,,,,,,,,250SER2017
,wp-250ser2018,Sherco 250 SE-R 2018,,,,,,,,,,,,,,,,,,250SER2018
,wp-250ser2019,Sherco 250 SE-R 2019,,,,,,,,,,,,,,,,,,250SER2019
,wp-250ser2020,Sherco 250 SE-R 2020,,,,,,,,,,,,,,,,,,250SER2020
,wp-250sx-f2017,250 SX-F 2017,"{""KTM"":{""250 SX-F"":[""2017""]}}",2017,KTM,250 SX-F,,,,KTM 250 (SX) 2017-2017,,,,,,,,,,F8101Q5
,wp-250sx-f2018,250 SX-F 2018,"{""KTM"":{""250 SX-F"":[""2018""]}}",2018,KTM,250 SX-F,,,,KTM 250 (SX) 2018-2018,,,,,,,,,,F8101R5
,wp-250sx-f2019,250 SX-F 2019,"{""KTM"":{""250 SX-F"":[""2019""]}}",2019,KTM,250 SX-F,,,,KTM 250 (SX) 2019-2019,,,,,,,,,,F8101S5
,wp-250sx-f2020,250 SX-F 2020,"{""KTM"":{""250 SX-F"":[""2020""]}}",2020,KTM,250 SX-F,,,,KTM 250 (SX) 2020-2020,,,,,,,,,,F8101T5
