handle,sample_sku,sku_count
hsq-norden9012024,2887X1_FTI,9
hsq-norden9012025,F2803Y1,2
hsq-norden9012026,F2803Z1,3
hsq-norden901exp2023,F2803W2,2
hsq-norden901exp2024,2887X2_FTI,5
hsq-norden901exp2025,F2803Y2,3
hsq-norden901exp2026,F2803Z2,3
hsq-pioneer2025,F3003Y2,2
hsq-skutta2024,F3003X5,3
hsq-svartpilen1252021,F1003U5,3
hsq-svartpilen1252022,F1003V5,5
hsq-svartpilen1252023,F1003W5,3
hsq-svartpilen1252024,F1003X5,5
hsq-svartpilen2002021,F1103U5,6
hsq-svartpilen2002022,F1103V5,11
hsq-svartpilen2002023,F1103W5,5
hsq-svartpilen2502021,F1203U5,6
hsq-svartpilen2502022,F1203V5,10
hsq-svartpilen2502023,F1203W5,5
hsq-svartpilen2502024,F1203X5,7
hsq-svartpilen2502025,F1202Y5,4
hsq-svartpilen4012019,F2303S2,3
hsq-svartpilen4012021,F1303U5,12
hsq-svartpilen4012022,F1303V5,17
hsq-svartpilen4012023,F1303W5,11
hsq-svartpilen4012024,F1303X5,16
hsq-svartpilen4012025,00JU0R6P,11
hsq-svartpilen4012026,F1302Z6,5
hsq-svartpilen7012019,F2603S5,2
hsq-svartpilen8012025,F2703Y2,2
hsq-tc1252026,F2101Z0,2
hsq-te1252015,F2103O8,2
hsq-te1252016,F2103P8,2
hsq-te1502023,F2103W9,2
hsq-te1502024,F2103X9,2
hsq-te1502025,F2103Y9,2
hsq-te150i2020,F2103T9,2
hsq-te150i2021,F2103U9,2
hsq-te150i2022,F2103V9,2
hsq-te2502011,2303K9,2
hsq-te2502012,2303L9,3
hsq-te2502013,F2303M9,3
hsq-te2502014,F2303N9,3
hsq-te2502015,F2303O8,3
hsq-te2502016,F2303P8,3
hsq-te2502017,F2303Q8,3
hsq-te2502018,F2360R8,2
hsq-te2502023,2387W7_CFMOTO,4
hsq-te2502024,2387X7_CFMOTO,4
hsq-te2502025,2387Y7_CFMOTO,4
hsq-te2502026,F2303Z7,2
hsq-te250i2018,F2303R7,2
hsq-te250i2019,F2303S7,2
hsq-te250i2020,F2303T7,2
hsq-te250i2021,F2303U7,2
hsq-te250i2022,2387V7_CFMOTO,3
hsq-te3002011,2403K9,2
hsq-te3002012,2403L9,3
hsq-te3002013,F2403M9,3
hsq-te3002014,F2403N9,3
hsq-te3002015,F2403O8,3
hsq-te3002016,F2403P8,3
hsq-te3002017,F2403Q8,3
hsq-te3002018,F2460R8,2
hsq-te3002023,F2403W7,3
hsq-te3002024,F2403X7,3
hsq-te3002025,F2403Y7,3
hsq-te3002026,F2403Z7,2
hsq-te300h2025,F2403Y6,2
hsq-te300i2019,F2403S7,2
hsq-te300i2020,F2403T7,2
hsq-te300i2021,F2403U7,2
hsq-te300i2022,F2403V7,3
hsq-te300ijarvisedition2020,F2403T8,2
hsq-te300ire2022,F2403V8,2
hsq-te300pro2024,F2403X8,2
hsq-te300pro2025,F2403Y8,4
hsq-te300pro2026,F2403Z8,3
hsq-vitpilen1252024,F1003X1,4
hsq-vitpilen1252025,F1003Y1,3
hsq-vitpilen250dummy2024,VITPILEN250DUMMY2024,1
hsq-vitpilen4012019,F2303S1,2
hsq-vitpilen4012021,F1303U1,14
hsq-vitpilen4012022,F1303V1,17
hsq-vitpilen4012023,F1303W1,7
hsq-vitpilen4012024,F1303X1,14
hsq-vitpilen4012025,F1302Y2,8
hsq-vitpilen4012026,F1302Z2,3
hsq-vitpilen7012019,F2603S4,2
hsq-vitpilen8012025,F2703Y1,4
hsq-vitpilen8012026,F2703Z1,2
